Context,Question,Answer,Context Length,Answer Length,Question Length
"ওয়েব সাইট/পেজ চালু করতে নিম্নলিখিত কাজগুলো করতে হবে। যথা-
ধাপ-১ : ডোমেইন নেইম রেজিস্ট্রেশন
সুন্দর একটি নাম যা সহজে মনে রাখা যায় এবং অর্থবোধক হয় তা নির্বাচন করে সেই নামের ডোমেইন রেজিস্ট্রেশন করতে হবে।
ধাপ-২ : ওয়েব পেজ ডিজাইন
ওয়েব পেজ ডিজাইন করতে হবে। এ ক্ষেত্রে প্রফেশনাল ওয়েব ডিজাইনারদের সহযোগিতা নিলে ভাল হয়। অনেক প্রতিষ্ঠান রয়েছে যারা অর্থের বিনিময়ে ওয়েব পেজ ডিজাইন করে দেয়।
ধাপ-৩ : ওয়েব সার্ভারে পেজ হোস্টিং
ডোমেইন রেজিস্ট্রেশন ও ওয়েব পেজ ডিজাইন সম্পন্ন করার পর ওয়েব সাইট/পেজগুলো নির্ভরযোগ্য কোন সার্ভারে হোস্ট করতে হবে। অনেক প্রতিষ্ঠান রয়েছে যারা অর্থের বিনিময়ে এই হোস্টিং সার্ভিস প্রদান করে।
ধাপ-৪ : সার্চ ইঞ্জিনের সাথে ওয়েব সাইট সংযুক্ত 
এই ধাপটি অত্যাবশ্যকীয় নয়। ওয়েব পেজ/সাইটটি আরো বেশি প্রচারমুখী করার জন্য সার্চ ইঞ্জিনের সাথে সংযুক্ত করতে হবে।",ওয়েব পেজ/সাইটটি আরো বেশি প্রচারমুখী করার জন্য কীসের সাথে সংযুক্ত করতে হবে ?,সার্চ ইঞ্জিনের সাথে ,116,3,13
"ডেটাবেজ হল এক বা একাধিক ফাইল বা টেবিল নিয়ে গঠিত পরস্পর সম্পর্কযুক্ত কিছু ডেটা। বিভিন্ন লেখক বিভিন্ন ভাবে ডেটাবেজকে সংজ্ঞায়িত করেছেন। নিচে কিছু সংজ্ঞা উল্লেখ করা হল।
“সম্পর্কযুক্ত ডেটার সমাবেশই হচ্ছে ডেটাবেজ।” (এলমারসি এবং নাভাথে) , “ এক বা একাধিক সম্পর্কযুক্ত প্রতিষ্ঠানের কার্যক্রমকে বর্ণনা করার জন্য ডেটার সংগ্রহকেই ডেটাবেজ বলে।"" (রামকৃষ্ণন এবং  গেহর্কে), "" একটি নির্ধারিত এন্টারপ্রাইজের অ্যাপ্লিকেশনে ব্যবহার করার জন্য স্থায়ী কিছু ডেটার সংগ্রহ নিয়েই ডেটাবেজ গঠিত""। (সি জে ডেট)","""একটি নির্ধারিত এন্টারপ্রাইজের অ্যাপ্লিকেশনে ব্যবহার করার জন্য স্থায়ী কিছু ডেটার সংগ্রহ নিয়েই ডেটাবেজ গঠিত।"" সংঙ্গাটি কে দিয়েছেন?",সি জে ডেট,70,3,17
১৯৮৩ সালে উত্তর আমেরিকায় বাণিজ্যিক ভাবে প্রথম প্রজন্ম মোবাইল ফোন চালু করা হয় যার নাম ছিল এমপিস (অ্যাডভান্সড মোবাইল ফোন সিস্টেম)। এমপিস এনালগ সিগন্যাল ব্যবহার করে যোগাযোগ স্থাপন করত। ফ্রিকোয়েন্সি ডিভিশন মাল্টিপল এক্সেস পদ্ধতির মাধ্যমে এর লিংক এর চ্যানেলগুলো আলাদা করা হয়। এই সিস্টেম দুটি এনালগ চ্যানেল ব্যবহার করে যথা-ফরোয়ার্ড  এবং রিভার্স । বেস স্টেশন হতে মোবাইল স্টেশনকে বলে ফরোয়ার্ড। মোবাইল হতে বেস স্টেশনকে বলে রিভার্স । এছাড়া প্রথম জেনারেশনে সিটি/1 এবং এনএমটি নামে আরও দুইটি মোবাইল ফোন সিস্টেম চালু ছিল।,দুইটি মোবাইল ফোন সিস্টেম এর নাম কি কি ?,সিটি/1 এবং এনএমটি,81,3,9
সিনক্রোনাস ডেটা ট্রান্সমিশন ব্যবস্থায় প্রেরক স্টেশনে প্রথমে ডেটাকে কোন প্রাথমিক স্টোরেজ ডিভাইসে সংরক্ষণ করে নেয়া হয়। অতঃপর ডেটার ক্যারেক্টারসমূহকে ব্লক (যাকে প্যাকেটও বলা হয়) আকারে ভাগ করে প্রতিবারে একটি করে ব্লক ট্রান্সমিট করা হয়। প্রতিটি ব্লকে কমপক্ষে ৮০ থেকে ১৩২টি ক্যারেক্টার থাকে। প্রতি দু'টি ব্লকের মাঝখানের সময় বিরতি নির্ধারিত সময়ে হয়ে থাকে এবং প্রতিটি ব্লক ডেটার শুরুতে একটি হেডার ইনফরমেশন ও শেষে একটি ট্রেইলর ইনফরমেশন সিগন্যাল পাঠানো হয়। এই হেডার সিগন্যাল রিসিভারের ব্লক গতিকে প্রেরকের ক্লক গতির সাথে সিনক্রোনাইজ করে এবং প্রেরক ও গ্রাহকের চিহ্নিতকরণের সংখ্যা বহন করে থাকে। আর ট্রেইলর ব্লকের শেষ বুঝানোর তথ্য বহন করে। তাছাড়া ডেটার মধ্যে কোন ভুল আছে কিনা তা যাচাই করতে সহায়তা করে থাকে।,ডেটার মধ্যে কোন ভুল আছে কিনা তা যাচাই করতে সহায়তা করে থাকে কোনটি ?,সিনক্রোনাস ডেটা ট্রান্সমিশন,110,3,14
সিনক্রোনাস ডেটা ট্রান্সমিশন ব্যবস্থায় প্রেরক স্টেশনে প্রথমে ডেটাকে কোন প্রাথমিক স্টোরেজ ডিভাইসে সংরক্ষণ করে নেয়া হয়। অতঃপর ডেটার ক্যারেক্টারসমূহকে ব্লক (যাকে প্যাকেটও বলা হয়) আকারে ভাগ করে প্রতিবারে একটি করে ব্লক ট্রান্সমিট করা হয়। প্রতিটি ব্লকে কমপক্ষে ৮০ থেকে ১৩২টি ক্যারেক্টার থাকে। প্রতি দু'টি ব্লকের মাঝখানের সময় বিরতি নির্ধারিত সময়ে হয়ে থাকে এবং প্রতিটি ব্লক ডেটার শুরুতে একটি হেডার ইনফরমেশন ও শেষে একটি ট্রেইলর ইনফরমেশন সিগন্যাল পাঠানো হয়। এই হেডার সিগন্যাল রিসিভারের ব্লক গতিকে প্রেরকের ক্লক গতির সাথে সিনক্রোনাইজ করে এবং প্রেরক ও গ্রাহকের চিহ্নিতকরণের সংখ্যা বহন করে থাকে। আর ট্রেইলর ব্লকের শেষ বুঝানোর তথ্য বহন করে। তাছাড়া ডেটার মধ্যে কোন ভুল আছে কিনা তা যাচাই করতে সহায়তা করে থাকে।, কোন ব্যবস্থায় প্রেরক স্টেশনে প্রথমে ডেটাকে কোন প্রাথমিক স্টোরেজ ডিভাইসে সংরক্ষণ করে নেয়া হয় ?,সিনক্রোনাস ডেটা ট্রান্সমিশন,110,3,15
যে অ্যাডার দুটো বাইনারি বিট যোগ করতে পারে তাকে বাইনারি অ্যাডার বলে। n বিটের দু'টি বাইনারি সংখ্যা দু'ভাবে যোগ করা যায়। যথা- ১। প্যারালাল বাইনারি অ্যাডারের সাহায্যে ও ২। সিরিয়াল বাইনারি অ্যাডারের সাহায্যে। প্যারালাল বাইনারি অ্যাডারের ক্ষেত্রে n বিটের দু'টি বাইনারি সংখ্যা যোগ করার জন্যে n টি অ্যাডার প্রয়োজন হয় পক্ষান্তরে সিরিয়াল বাইনারি অ্যাডারে একটিমাত্র ফুল-অ্যাডার ব্যবহার করা হয়। ,কোন অ্যাডারে একটিমাত্র ফুল-অ্যাডার ব্যবহার করা হয় ?,সিরিয়াল বাইনারি অ্যাডারে,59,3,8
স্টেপ ইনডেক্স ফাইবারের কোরের প্রতিসরাংক সর্বত্র সমান থাকে। গ্রেডেড ইনডেক্স ফাইবারের কোরের প্রতিসরাংক কেন্দ্রে সবচাইতে বেশি এবং ইহার ব্যাসার্ধ বরাবর কমতে থাকে। কোরের প্রতিসরাংকের ভিন্নতার জন্য এ দুই ধরনের ফাইবারের আলোক রশ্মির গতিপথও ভিন্ন হয়। গ্রেডেড ইনডেক্স ফাইবারের তুলনায় স্টেপ ইনডেক্স ফাইবারের কোরের ব্যাসার্ধ বেশি।,কোন  ফাইবারের কোরের প্রতিসরাংক সর্বত্র সমান থাকে? ,স্টেপ ইনডেক্স ফাইবারের ,45,3,7
স্টেপ ইনডেক্স ফাইবারের কোরের প্রতিসরাংক সর্বত্র সমান থাকে। গ্রেডেড ইনডেক্স ফাইবারের কোরের প্রতিসরাংক কেন্দ্রে সবচাইতে বেশি এবং ইহার ব্যাসার্ধ বরাবর কমতে থাকে। কোরের প্রতিসরাংকের ভিন্নতার জন্য এ দুই ধরনের ফাইবারের আলোক রশ্মির গতিপথও ভিন্ন হয়। গ্রেডেড ইনডেক্স ফাইবারের তুলনায় স্টেপ ইনডেক্স ফাইবারের কোরের ব্যাসার্ধ বেশি।,গ্রেডেড ইনডেক্স ফাইবারের তুলনায় কোনটির কোরের ব্যাসার্ধ বেশি?,স্টেপ ইনডেক্স ফাইবারের ,45,3,8
"টেকনোলজি স্পেসিফিকেশনঃ কি ধরনের টেকনোলজি ওয়েব সাইটে ব্যবহার করা হবে তা তার সিদ্ধান্ত নিতে হবে উদাহরণ হিসেবে বলা যায়, ওয়েব সাইট নির্দিষ্ট কোন ব্রাউজারের জন্য, না সকল প্রকার ব্রাউজারেই কাজ করবে? সাইটটি কি প্লাগ-ইনসসহ কাজ করবে, না কি প্লাগ-ইনস ছাড়া কাজ করবে? তথ্য অনুসন্ধানের পদ্ধতির উপর ভিত্তি করে ওয়েব সাইট দু'ভাগে ভাগ করা যায়। যথা-
স্ট্যাটিক: শুধুমাত্র হাইপারলিঙ্ক ব্যবহার করে একটি পেজের বা ডকুমেন্টের সাথে অন্য পেজ বা ডকুমেন্টের অনুসন্ধান করা হয় ।
ডাইনামিক: অনুসন্ধানজনিত কাজে ডেটাবেজ সার্চ ইঞ্জিন ব্যবহার করা যেতে পারে। ওয়েব সাইট তৈরি করার জন্য কি ডেটাবেজ ব্যবহার করা হবে, নাকি স্ট্যাটিক ওয়েব পেজ ব্যবহার করা হবে তা বিবেচনা করতে হবে। প্রতিষ্ঠানের বিক্রিত সেবা বা পণ্যের তালিকা বেশি হলে স্ট্যাটিক ওয়েব পেজের তুলনায় ব্যাকেন্ড এ ডেটাবেজ ব্যবহার করে সার্চ ইঞ্জিন ব্যবহার করাই শ্রেয়। তাছাড়া, ওয়েব সাইট কতটা ইন্টারএ্যাকটিভ করা প্রয়োজন সেটা ব্যবসায়ের ধরন অনুযায়ী নির্ধারণ করতে হবে। সাধারণত একটি ওয়েব সাইটে ফর্ম সাবমিশন, সাইটসার্চ ইঞ্জিন, বুলেটিন বোর্ড, গেস্ট বুক, হিট কাউন্টার ইত্যাদি ইন্টারএ্যাকটিভ অপশনগুলো যুক্ত করা যেতে পারে।",তথ্য অনুসন্ধানের পদ্ধতির উপর ভিত্তি করে ওয়েব সাইট গুলোর নাম কি ?,স্ট্যাটিক ও ডাইনামিক,159,3,12
"এসকিউএল (স্ট্রাকচার্ড কোয়েরি ল্যাঙ্গুয়েজ) স্টেটমেন্ট তৈরীর জন্য এসকিউএল কোয়েরি ব্যবহৃত হয়। এসকিউএল কোয়েরি চার ধরনের। যথা- ইউনিয়ন কোয়েরি, পাস-থ্রু কোয়েরি, ডাটা ডেফিনেশন কোয়েরি এবং সাব-কোয়েরি। ডেটাবেজ ব্যবস্থাপনার কাজে কোয়েরি একটি গুরুত্বপূর্ণ কমান্ড। এ কমান্ডের সাহায্যে ডেটাবেজ থেকে বিভিন্ন প্রকার প্রয়োজনীয়তার ভিত্তিতে রেকর্ড অনুসন্ধান করে নতুন ফাইলে একত্রে উপস্থাপন করা যায়। এই নতুন ফাইলটিকে বলা হয় কোয়েরি ফাইল। ",এসকিউএল এর পূর্ণরূপ কি?,স্ট্রাকচার্ড কোয়েরি ল্যাঙ্গুয়েজ,57,3,4
"পঁচিশটির মত সাধারণ হাই লেভেল ভাষা আছে, তার মধ্যে প্রধান হল অ্যালগল, কোবল, পিএল / 1, এপিএল, লোগো, লিম্প, সি, প্রোলগ, ফোর্থ, কোবল, ফোরট্রান, প্যাস্কাল ও বেসিক। হাই লেভেল ভাষাকে দুভাগে ভাগ করা যায়, যথা- ১) সাধারণ কাজের ভাষা ও ২) বিশেষ কাজের ভাষা। যে ভাষা সব ধরনের কাজের উপযোগী তাকে বলে সাধারণ কাজের ভাষা, যেমন- বেসিক, প্যাস্কাল, সি ইত্যাদি। যে ভাষা শুধু বিশেষ বিশেষ কাজের উপযোগী তাকে বলে বিশেষ কাজের ভাষা, যেমন- কোবল, লিস্প, ফোরট্রান।
",অ্যালগল কি ভাষা?,হাই লেভেল ভাষা,76,3,3
"হাই লেভেল ভাষার প্রধান অসুবিধাগুলো হল- ১) কম্পিউটার সরাসরি এই ভাষা বুঝতে পারে না। তাই এই ভাষায় লিখিত প্রেগ্রামকে কম্পিউটারে চালাতে হলে অনুবাদকের প্রয়োজন হয়। ২) প্রোগ্রাম রান করতে বেশি সময় লাগে এবং বেশি মেমরি দরকার। তাই লো লেবেল ভাষা থেকে দক্ষতা কম ৩) এই ভাষা লো লেবেল ভাষা থেকে কম অনমনীয়।
",বেশি মেমরি দরকার কোন ভাষার?,হাই লেভেল ভাষা,52,3,5
হাই লেভেল ভাষার প্রধান সুবিধাগুলো হল- ১) হাই লেভেল ভাষায় লিখিত প্রোগ্রাম যে কোন কম্পিউটারে ব্যবহার করা যায়। ২) মানুষের পক্ষে লো লেভেলের চেয়ে হাই লেভেল ভাষা শেখা সহজ। ৩) হাই লেভেল ভাষায় তাড়াতাড়ি প্রোগ্রাম লেখা যায়। ৪) লো লেভেল ভাষার চার বা পাঁচটি নির্দেশের জায়গায় হাই লেভেল ভাষার মাত্র একটি বাক্য লিখলেই চলে। ৫) প্রোগ্রাম লেখার জন্য কম্পিউটার সম্পর্কে ধারণা প্রয়োজন নেই।,মানুষের পক্ষে কোন  ভাষা শেখা সহজ?,হাই লেভেল ভাষা,63,3,6
হাই লেভেল ভাষার প্রধান সুবিধাগুলো হল- ১) হাই লেভেল ভাষায় লিখিত প্রোগ্রাম যে কোন কম্পিউটারে ব্যবহার করা যায়। ২) মানুষের পক্ষে লো লেভেলের চেয়ে হাই লেভেল ভাষা শেখা সহজ। ৩) হাই লেভেল ভাষায় তাড়াতাড়ি প্রোগ্রাম লেখা যায়। ৪) লো লেভেল ভাষার চার বা পাঁচটি নির্দেশের জায়গায় হাই লেভেল ভাষার মাত্র একটি বাক্য লিখলেই চলে। ৫) প্রোগ্রাম লেখার জন্য কম্পিউটার সম্পর্কে ধারণা প্রয়োজন নেই।,কোন ভাষায় তাড়াতাড়ি প্রোগ্রাম লেখা যায়?,হাই লেভেল ভাষা,63,3,6
"হাই লেভেল ভাষার প্রধান অসুবিধাগুলো হল- ১) কম্পিউটার সরাসরি এই ভাষা বুঝতে পারে না। তাই এই ভাষায় লিখিত প্রেগ্রামকে কম্পিউটারে চালাতে হলে অনুবাদকের প্রয়োজন হয়। ২) প্রোগ্রাম রান করতে বেশি সময় লাগে এবং বেশি মেমরি দরকার। তাই লো লেবেল ভাষা থেকে দক্ষতা কম ৩) এই ভাষা লো লেবেল ভাষা থেকে কম অনমনীয়।", কোন ভাষা প্রোগ্রাম রান করতে বেশি সময় লাগে?,হাই লেভেল ভাষা,52,3,8
"হাই লেভেল ভাষার প্রধান অসুবিধাগুলো হল- ১) কম্পিউটার সরাসরি এই ভাষা বুঝতে পারে না। তাই এই ভাষায় লিখিত প্রেগ্রামকে কম্পিউটারে চালাতে হলে অনুবাদকের প্রয়োজন হয়। ২) প্রোগ্রাম রান করতে বেশি সময় লাগে এবং বেশি মেমরি দরকার। তাই লো লেবেল ভাষা থেকে দক্ষতা কম ৩) এই ভাষা লো লেবেল ভাষা থেকে কম অনমনীয়।
",লো লেবেল ভাষা থেকে দক্ষতা কম কোন ভাষার?,হাই লেভেল ভাষা,52,3,8
হাই লেভেল ভাষার প্রধান সুবিধাগুলো হল- ১) হাই লেভেল ভাষায় লিখিত প্রোগ্রাম যে কোন কম্পিউটারে ব্যবহার করা যায়। ২) মানুষের পক্ষে লো লেভেলের চেয়ে হাই লেভেল ভাষা শেখা সহজ। ৩) হাই লেভেল ভাষায় তাড়াতাড়ি প্রোগ্রাম লেখা যায়। ৪) লো লেভেল ভাষার চার বা পাঁচটি নির্দেশের জায়গায় হাই লেভেল ভাষার মাত্র একটি বাক্য লিখলেই চলে। ৫) প্রোগ্রাম লেখার জন্য কম্পিউটার সম্পর্কে ধারণা প্রয়োজন নেই।, কোন  ভাষায় লিখিত প্রোগ্রাম যে কোন কম্পিউটারে ব্যবহার করা যায়?,হাই লেভেল ভাষা,63,3,10
"হাই লেভেল ভাষার প্রধান অসুবিধাগুলো হল- ১) কম্পিউটার সরাসরি এই ভাষা বুঝতে পারে না। তাই এই ভাষায় লিখিত প্রেগ্রামকে কম্পিউটারে চালাতে হলে অনুবাদকের প্রয়োজন হয়। ২) প্রোগ্রাম রান করতে বেশি সময় লাগে এবং বেশি মেমরি দরকার। তাই লো লেবেল ভাষা থেকে দক্ষতা কম ৩) এই ভাষা লো লেবেল ভাষা থেকে কম অনমনীয়।
",হাই লেভেল ভাষা ও মেশিন ভাষার মধ্যে কোনটি বেশি সময় নেয় ? ,হাই লেভেল ভাষা,52,3,12
স্বাভাবিক ভাষার মত হাই লেভেল ভাষার গঠনগত নিয়ম কানুন আছে। নিম্নে হাই লেভেল ভাষায় কয়েকটি গুরুত্বপূর্ণ বৈশিষ্ট্য তুলে ধরা হল- ১) হাই লেভেল ভাষায় স্বাভাবিক ভাষার (যেমন ইংরেজি) অনেক শব্দ ব্যবহার করা যায়। ২) প্রোগ্রামের কার্যবর্ণনা বা স্টেটমেন্ট অনেকগুলো মেশিন (বা অ্যাসেম্বলি) স্টেটমেন্টের সমকক্ষ অর্থাৎ প্রোগ্রাম সংক্ষিপ্ত হয়। ৩) অসংখ্য তৈরি লাইব্রেরী প্রোগ্রামের সুবিধা বিদ্যমান। ৪) প্রোগ্রাম রচনার সময় কম্পিউটার মেশিনের কথা ভাবতে হয় না।, কোন ভাষায় লিখিত প্রোগ্রাম সংক্ষিপ্ত হয়?,হাই লেভেল ভাষায় ,65,3,6
স্বাভাবিক ভাষার মত হাই লেভেল ভাষার গঠনগত নিয়ম কানুন আছে। নিম্নে হাই লেভেল ভাষায় কয়েকটি গুরুত্বপূর্ণ বৈশিষ্ট্য তুলে ধরা হল- ১) হাই লেভেল ভাষায় স্বাভাবিক ভাষার (যেমন ইংরেজি) অনেক শব্দ ব্যবহার করা যায়। ২) প্রোগ্রামের কার্যবর্ণনা বা স্টেটমেন্ট অনেকগুলো মেশিন (বা অ্যাসেম্বলি) স্টেটমেন্টের সমকক্ষ অর্থাৎ প্রোগ্রাম সংক্ষিপ্ত হয়। ৩) অসংখ্য তৈরি লাইব্রেরী প্রোগ্রামের সুবিধা বিদ্যমান। ৪) প্রোগ্রাম রচনার সময় কম্পিউটার মেশিনের কথা ভাবতে হয় না।,কোন ভাষায় স্বাভাবিক ভাষার শব্দ ব্যবহার করা হয়?,হাই লেভেল ভাষায় ,65,3,8
স্বাভাবিক ভাষার মত হাই লেভেল ভাষার গঠনগত নিয়ম কানুন আছে। নিম্নে হাই লেভেল ভাষায় কয়েকটি গুরুত্বপূর্ণ বৈশিষ্ট্য তুলে ধরা হল- ১) হাই লেভেল ভাষায় স্বাভাবিক ভাষার (যেমন ইংরেজি) অনেক শব্দ ব্যবহার করা যায়। ২) প্রোগ্রামের কার্যবর্ণনা বা স্টেটমেন্ট অনেকগুলো মেশিন (বা অ্যাসেম্বলি) স্টেটমেন্টের সমকক্ষ অর্থাৎ প্রোগ্রাম সংক্ষিপ্ত হয়। ৩) অসংখ্য তৈরি লাইব্রেরী প্রোগ্রামের সুবিধা বিদ্যমান। ৪) প্রোগ্রাম রচনার সময় কম্পিউটার মেশিনের কথা ভাবতে হয় না।,অসংখ্য তৈরি লাইব্রেরী প্রোগ্রামের সুবিধা বিদ্যমান কোন ভাষায়?,হাই লেভেল ভাষায় ,65,3,8
স্বাভাবিক ভাষার মত হাই লেভেল ভাষার গঠনগত নিয়ম কানুন আছে। নিম্নে হাই লেভেল ভাষায় কয়েকটি গুরুত্বপূর্ণ বৈশিষ্ট্য তুলে ধরা হল- ১) হাই লেভেল ভাষায় স্বাভাবিক ভাষার (যেমন ইংরেজি) অনেক শব্দ ব্যবহার করা যায়। ২) প্রোগ্রামের কার্যবর্ণনা বা স্টেটমেন্ট অনেকগুলো মেশিন (বা অ্যাসেম্বলি) স্টেটমেন্টের সমকক্ষ অর্থাৎ প্রোগ্রাম সংক্ষিপ্ত হয়। ৩) অসংখ্য তৈরি লাইব্রেরী প্রোগ্রামের সুবিধা বিদ্যমান। ৪) প্রোগ্রাম রচনার সময় কম্পিউটার মেশিনের কথা ভাবতে হয় না।, কোন ভাষা প্রোগ্রাম রচনার সময় কম্পিউটার মেশিনের কথা ভাবতে হয় না?,হাই লেভেল ভাষায় ,65,3,11
"স্টার নেটওয়ার্কে প্রত্যেকটি কম্পিউটার একটি হাব  বা সুইচের  মাধ্যমে সরাসরি যুক্ত থাকে। মাইক্রোকম্পিউটারগুলি হাবের মাধ্যমে একে অন্যের সাথে যোগাযোগ রক্ষা করে ও ডেটা আদান-প্রদান করে।
স্টার টপোলজির সুবিধাসমূহ-
১। নেটওয়ার্কের কোন কম্পিউটার নষ্ট হলেও নেটওয়ার্কের বাকি কম্পিউটারগুলোর মধ্যে কাজের ব্যাঘাত ঘটে না।
২। হাব বা সুইচ ছাড়া নেটওয়ার্কের অন্য কোন অংশের সংযোগ বিচ্ছিন্ন হয়ে গেলেও নেটওয়ার্ক সচল থাকে।
৩। একই নেটওয়ার্কে বিভিন্ন ধরনের ক্যাবল ব্যবহার করা যায়।
৪। স্টার নেটওয়ার্কে কোন কম্পিউটার যোগ করা বা বাদ দেওয়া যায়, তাতে কাজের কোন বিঘ্ন ঘটে না।
৫। কেন্দ্রীয়ভাবে নেটওয়ার্ক রক্ষণাবেক্ষণ বা সমস্যা নিরূপণ সহজ। ইনটেলিজেন্ট সুইচ ব্যবহার করলে এর সাহায্যে নেটওয়ার্কের কর্মকান্ড তথা ওয়ার্কলোড মনিটরিং করা যায়।
স্টার টপোলজির সুবিধা কারণ পুরো নেটওয়ার্ক হাবের মাধ্যমেই পরস্পরের সঙ্গে যুক্ত থাকে ।
২। স্টার টপোলজিতে প্রচুর পরিমাণে ক্যাবল ব্যবহৃত হয় বিধায় এটি একটি ব্যয়বহুল পদ্ধতি ।",কি  ছাড়া নেটওয়ার্কের অন্য কোন অংশের সংযোগ বিচ্ছিন্ন হয়ে গেলেও নেটওয়ার্ক সচল থাকে? ,হাব বা সুইচ,124,3,13
"ওয়েব পেজ তৈরি করার পর তা যে কোন একটি নির্ভরযোগ্য ওয়েব সার্ভারে হোস্ট করা প্রয়োজন। ডোমেইন নেইমটি রেজিস্ট্রার করার পরে তা ওয়েব হোস্টিং কোম্পানিতে স্থানান্তর করতে হবে। আজকাল অবশ্য অনেক আইএসপি এবং ওয়েব হোস্টিং কোম্পানি পাওয়া যাবে যারা নতুন ডোমেইন রেজিস্টারের প্রয়োজনীয় কার্যাবলী সম্পাদন করে দিতে অগ্রহী। তাদের থেকে প্রয়োজনীয় সহায়তা নেয়া যেতে পারে।
ওয়েব সার্ভার বলতে বিশেষ ধরনের হার্ডওয়্যার ও সফটওয়্যারকে বুঝায় যার সাহায্যে ঐ সার্ভারে রক্ষিত কোন উপাত্ত বা তথ্য ইন্টারনেটের মাধ্যমে অ্যাকসেস করা যায়। ওয়েব সার্ভারের প্রাথমিক কাজ হলো ইন্টারনেটের সাথে সংযুক্ত কোন ক্লায়েন্টের অনুরোধে ওয়েব পেজ ক্লায়েন্টের কম্পিউটারে প্রদর্শন করা। 
",ওয়েব সার্ভার বলতে বিশেষ ধরনের কি  বুঝায় যার সাহায্যে ঐ সার্ভারে রক্ষিত কোন উপাত্ত বা তথ্য ইন্টারনেটের মাধ্যমে অ্যাকসেস করা যায়? ,হার্ডওয়্যার ও সফটওয়্যারকে,94,3,21
"ওয়েব পেজ/সাইট এর অ্যাড্রেসকে ইউআরএল বলা হয়। ইউআরএল হচ্ছে ইউনিফর্ম রিসোর্স লোকেটর । পৃথিবীতে এক নামে একটিমাত্র ওয়েব সাইট থাকে। কোন প্রতিষ্ঠান, কোম্পানির বা ব্যক্তির ওয়েব সাইটের মূল পেজকে হোম পেজ বলে। এটি সাধারণত স্টার্ট পেজ এ সেট করা থাকে। ওয়েব সার্ভারে যে ওয়েব পেজ টি স্টার্ট পেজ হিসাবে সেট করা হয় ঐ ওয়েব পেজ টি ব্যবহারকারীর হোমপেজ। অর্থাৎ ব্রাউজারে ওয়েব অ্যাড্রেস টাইপ করার সাথে সাথে যে পেজটি প্রদর্শিত হয় তাই হলো হোম পেজ ।",ব্রাউজারে ওয়েব অ্যাড্রেস টাইপ করার সাথে সাথে যে পেজটি প্রদর্শিত হয় তাই হলো -,হোম পেজ ।,75,3,14
ওয়েব পেজ/সাইট এর অ্যাড্রেসকে ইউআরএল বলা হয়। ইউআরএল হচ্ছে ইউনিফর্ম রিসোর্স লোকেটর । পৃথিবীতে এক নামে একটিমাত্র ওয়েব সাইট থাকে। চ এটি সাধারণত স্টার্ট পেজ এ সেট করা থাকে। ওয়েব সার্ভারে যে ওয়েব পেজ টি স্টার্ট পেজ হিসাবে সেট করা হয় ঐ ওয়েব পেজ টি ব্যবহারকারীর হোমপেজ। অর্থাৎ ব্রাউজারে ওয়েব অ্যাড্রেস টাইপ করার সাথে সাথে যে পেজটি প্রদর্শিত হয় তাই হলো হোম পেজ ।,"কোন প্রতিষ্ঠান, কোম্পানির বা ব্যক্তির ওয়েব সাইটের মূল পেজকে কি বলে ?",হোম পেজ বলে,64,3,12
"মানুষের হাতের আকৃতি ও জ্যামিতিক গঠনে ভিন্নতা পরিলক্ষিত হয়। হ্যান্ড জিওমিট্রি পদ্ধতিতে বায়োমেট্রিক ডিভাইস দ্বারা মানুষের হাতের আকৃতি বা জ্যামিতিক গঠন ও সাইজ নির্ণয়ের মাধ্যমে মানুষকে সনাক্ত করা হয়। এই পদ্ধতিতে হ্যান্ড জিওমিট্রি রিডার একই সাথে ৩১,০০০ এর বেশি পয়েন্ট এবং ৯০টির বেশি আলাদা আলাদা পরিমাপ পরীক্ষা করতে পারে। এখানে হাতের দৈৰ্ঘ্য, প্রস্থ, পূরত্ব ইত্যাদি পরিমাপ করা হয়। এই পদ্ধতিতে ব্যবহারকারীর হাতটি রিডারের নির্দিষ্ট স্থানে রাখার পর বায়োমেট্রিক ডিভাইস ৫ সেকেন্ডেরও কম সময়ের মধ্যে ডেটাবেজে সংরক্ষিত মানের সাথে প্রাপ্ত মানের পরীক্ষা করে ফলাফল প্রদান করে থাকে।","কোথায় হাতের দৈৰ্ঘ্য, প্রস্থ, পূরত্ব ইত্যাদি পরিমাপ করা হয়?",হ্যান্ড জিওমিট্রি রিডার,86,3,9
